,G1,G2,G3,studytime,failures,absences
118,9,7,8,2,1,20
119,14,13,13,1,0,6
120,16,15,15,2,0,2
121,16,14,15,4,0,6
122,13,13,13,2,0,2
123,14,11,13,1,0,18
124,8,7,8,2,0,0
125,13,13,12,1,0,0
126,7,10,11,2,0,0
127,7,8,9,2,3,2
128,7,4,0,1,2,0
129,18,18,18,1,0,8
130,12,0,0,3,2,0
131,8,0,0,1,0,0
132,10,13,12,1,0,12
133,12,11,11,1,0,16
134,9,0,0,2,0,0
135,11,0,0,3,0,0
136,10,0,0,2,0,0
137,4,0,0,1,2,0
138,14,12,12,2,1,0
139,16,16,15,1,0,0
140,7,9,0,4,0,0
141,9,9,9,1,2,8
142,9,11,11,3,0,2
143,14,14,13,1,0,2
144,5,0,0,1,3,0
145,8,11,11,2,0,0
146,6,7,0,2,3,0
147,10,11,11,2,0,2
148,7,6,0,1,0,0
149,8,9,10,1,3,0
150,6,5,0,1,3,0
151,12,13,14,1,1,6
152,10,10,10,3,2,8
153,5,0,0,1,3,0
154,11,11,12,1,0,0
155,11,8,8,2,0,2
156,16,12,13,1,0,8
157,9,8,10,1,3,6
158,17,15,15,1,0,2
159,10,12,12,2,1,4
160,7,6,0,1,2,0
161,5,9,7,2,2,6
162,7,0,0,1,1,0
163,10,10,10,1,0,2
164,5,8,7,2,3,0
165,12,11,12,1,1,16
166,10,10,10,2,0,4
167,14,15,16,2,0,0
168,6,7,0,2,0,0
169,14,14,14,2,0,0
170,6,5,0,1,2,0
171,13,15,16,2,0,2
172,13,11,10,2,0,0
173,8,7,0,2,3,0
174,10,11,9,2,0,4
175,10,9,9,2,0,4
176,13,13,11,2,0,2
177,6,5,6,2,0,4
178,10,8,9,1,0,10
179,10,10,11,2,0,4
180,9,8,8,2,0,10
181,12,13,12,2,0,2
182,16,17,17,2,0,0
183,9,9,8,2,0,56
184,12,13,12,2,0,14
185,12,12,11,2,0,12
186,11,12,11,1,0,2
187,15,15,15,2,0,0
188,8,7,9,2,0,6
189,8,9,10,2,0,4
190,11,12,13,2,0,10
191,8,8,9,2,0,0
192,7,8,8,2,0,12
193,8,9,10,1,0,8
194,13,14,14,1,0,0
195,14,15,15,2,0,0
196,17,15,16,1,0,4
197,9,9,10,1,0,8
198,18,18,18,1,1,24
199,9,9,10,2,0,0
200,16,16,16,2,0,2
201,8,10,10,2,0,6
202,9,9,10,2,0,4
203,7,6,6,1,0,18
204,10,10,11,4,0,6
205,10,9,9,3,1,28
206,7,7,7,2,3,5
207,11,12,13,2,0,10
208,9,9,10,1,0,6
209,7,7,7,3,0,6
210,8,8,8,4,0,10
211,12,12,13,2,0,13
212,12,13,14,2,0,0
213,6,7,8,2,1,15
214,8,10,10,1,0,12
215,14,15,15,2,0,2
216,6,6,4,2,2,22
217,6,6,8,2,1,13
218,7,7,8,1,0,3
219,9,10,10,3,0,4
220,6,6,6,2,0,2
221,6,5,0,3,1,0
222,16,16,17,2,0,2
223,12,13,13,2,0,0
224,13,13,14,3,0,0
225,9,8,7,2,1,16
226,16,15,15,2,0,10
227,12,11,12,2,0,2
228,10,8,9,2,0,14
229,12,10,12,3,0,10
230,13,13,14,2,0,14
231,11,11,11,2,0,4
232,11,9,9,2,0,14
233,14,13,13,2,0,2
234,9,7,6,2,0,18
235,11,9,10,3,0,10
236,14,13,13,2,0,4
237,13,12,12,1,0,20
238,13,11,11,2,0,2
239,7,7,0,2,1,0
240,12,12,12,2,0,14
241,10,11,12,2,0,2
242,6,0,0,1,0,0
243,13,12,12,1,0,0
244,7,0,0,3,0,0
245,18,18,18,1,0,6
246,12,12,13,1,0,4
247,6,8,8,1,3,16
248,3,5,5,2,1,8
249,13,15,15,1,0,0
250,6,8,8,1,1,0
251,7,10,10,2,0,6
252,6,9,8,1,1,4
253,8,9,8,1,0,0
254,8,12,12,1,0,0
255,7,9,8,1,1,2
256,14,12,13,4,0,6
257,11,11,11,2,0,12
258,15,14,14,2,0,8
259,10,9,0,4,0,0
260,17,18,18,2,0,21
261,8,8,8,2,0,2
262,13,12,12,3,0,1
263,10,9,9,3,0,4
264,9,10,0,3,0,0
265,17,17,17,2,0,13
266,9,9,10,2,0,2
267,12,10,11,2,0,8
268,10,9,10,2,0,10
269,6,0,0,2,0,0
270,9,9,9,2,2,15
271,15,14,14,4,0,4
272,11,11,11,2,0,2
273,15,14,14,2,0,2
274,10,10,10,2,0,2
275,12,12,12,2,0,6
276,10,9,9,2,0,75
277,9,9,9,1,0,22
278,9,8,8,2,1,15
279,10,11,10,1,0,8
280,8,8,8,1,0,30
281,11,9,10,1,1,19
282,12,12,12,4,0,1
283,8,9,10,2,0,4
284,10,9,11,2,0,4
285,12,10,11,2,0,2
286,18,18,19,3,0,5
287,13,12,12,3,0,6
288,15,14,14,3,0,6
289,15,13,15,2,0,9
290,12,11,11,2,0,11
291,15,15,15,3,0,0
292,12,12,13,2,1,12
293,18,18,18,4,0,6
294,14,13,14,3,0,8
295,14,12,11,1,0,4
296,10,9,0,2,0,0
297,10,8,8,2,0,10
298,14,13,14,4,0,0
299,16,15,16,1,0,5
300,12,10,11,2,0,14
301,11,11,10,1,0,0
302,15,12,14,3,0,0
303,17,17,18,4,0,0
304,15,14,13,2,1,20
305,14,12,12,2,1,8
306,17,18,18,1,0,0
307,8,9,8,1,1,38
308,15,12,12,2,1,0
309,12,10,10,2,1,18
310,9,9,0,2,1,0
311,14,12,13,2,0,20
312,13,11,11,2,1,3
313,13,10,11,2,1,22
314,15,13,13,3,2,14
315,13,11,11,3,1,40
316,8,8,0,2,0,0
317,9,10,9,3,0,9
318,11,11,10,3,0,0
319,11,11,11,2,0,2
320,13,13,13,2,0,23
321,11,9,9,2,0,12
322,11,11,11,3,0,3
323,12,14,15,3,0,1
324,16,15,15,3,0,0
325,9,12,11,3,0,3
326,14,15,16,1,0,3
327,11,10,10,1,0,8
328,10,9,9,3,0,7
329,14,14,14,3,0,4
330,9,8,8,4,0,2
331,12,14,14,3,0,7
332,7,0,0,2,0,0
333,8,8,0,2,0,0
334,10,9,0,4,0,0
335,16,15,15,3,0,16
336,14,13,13,3,1,12
337,7,8,0,2,0,0
338,16,15,17,4,0,7
339,9,10,10,2,0,4
340,11,12,11,3,1,4
341,10,10,0,2,1,0
342,16,15,15,2,0,11
343,9,8,0,2,1,0
344,11,10,10,3,0,4
345,13,13,14,3,0,7
346,16,15,16,3,0,9
347,10,10,9,3,0,0
348,13,15,15,3,0,0
349,11,13,13,1,1,10
350,8,7,8,2,3,8
351,13,13,13,2,0,2
352,8,7,8,1,1,7
353,8,8,8,1,1,4
354,13,11,11,2,0,4
355,10,9,9,2,0,0
356,12,13,13,2,0,4
357,12,12,11,2,0,2
358,10,10,10,1,0,4
359,18,16,16,3,0,0
360,13,13,13,2,0,0
361,13,12,12,2,1,2
362,11,11,10,2,0,0
363,16,15,15,2,0,0
364,12,11,12,2,0,0
365,10,10,10,2,0,4
366,13,13,13,3,0,0
367,7,6,0,1,1,0
368,11,10,10,1,0,0
369,14,12,11,2,0,10
370,7,7,9,2,2,4
371,14,12,12,1,0,3
372,13,11,11,3,0,8
373,6,5,5,1,0,14
374,19,18,19,3,0,0
375,8,8,10,3,0,2
376,15,14,15,3,2,4
377,8,9,10,2,0,4
378,15,15,15,2,0,0
379,10,10,10,2,0,17
380,15,14,14,2,0,4
381,7,6,7,1,0,5
382,11,11,10,2,0,2
383,6,5,0,1,1,0
384,6,5,5,1,1,14
385,10,9,10,3,0,2
386,6,5,6,1,0,7
387,7,5,0,3,1,0
388,7,9,8,2,0,0
389,6,5,0,2,1,0
390,9,9,9,2,2,11
391,14,16,16,1,0,3
392,10,8,7,1,3,3
393,11,12,10,1,0,0
394,8,9,9,1,0,5
